Date,Health_District,Age_Group,Cases,Hospitalized,Deaths,State
2020-07-11,Rappahannock Rapidan,80+,27,14,8,Virginia
2020-07-11,Lord Fairfax,Missing,2,0,0,Virginia
2020-07-11,Cumberland Plateau,50-59,9,1,0,Virginia
2020-07-11,Loudoun,Missing,65,0,1,Virginia
2020-07-11,Southside,50-59,67,10,0,Virginia
2020-07-11,Chesterfield,20-29,578,7,0,Virginia
2020-07-11,Norfolk,70-79,64,25,4,Virginia
2020-07-11,Alleghany,10-19,84,0,0,Virginia
2020-07-11,Crater,80+,117,20,12,Virginia
2020-07-11,Portsmouth,Missing,15,0,0,Virginia
2020-07-11,Western Tidewater,10-19,30,0,0,Virginia
2020-07-11,Chesterfield,10-19,320,0,0,Virginia
2020-07-11,Southside,60-69,62,14,5,Virginia
2020-07-11,Chickahominy,50-59,120,23,1,Virginia
2020-07-11,Alleghany,40-49,86,1,0,Virginia
2020-07-11,Prince William,50-59,1491,196,15,Virginia
2020-07-11,Mount Rogers,0-9,39,1,0,Virginia
2020-07-11,Eastern Shore,0-9,20,2,0,Virginia
2020-07-11,Thomas Jefferson,60-69,94,18,3,Virginia
2020-07-11,Pittsylvania-Danville,70-79,25,12,1,Virginia
2020-07-11,Chesterfield,80+,146,30,46,Virginia
2020-07-11,Richmond,0-9,105,5,0,Virginia
2020-07-11,Chesapeake,80+,72,25,12,Virginia
2020-07-11,Peninsula,40-49,183,8,1,Virginia
2020-07-11,Henrico,0-9,104,2,0,Virginia
2020-07-11,Lenowisco,80+,6,0,0,Virginia
2020-07-11,Piedmont,60-69,142,21,2,Virginia
2020-07-11,West Piedmont,0-9,17,1,0,Virginia
2020-07-11,Rappahannock Rapidan,70-79,43,13,8,Virginia
2020-07-11,Central Shenandoah,70-79,137,40,12,Virginia
2020-07-11,Chesapeake,30-39,235,11,0,Virginia
2020-07-11,Chickahominy,0-9,15,0,0,Virginia
2020-07-11,Prince William,0-9,359,10,0,Virginia
2020-07-11,Eastern Shore,50-59,275,19,5,Virginia
2020-07-11,Mount Rogers,50-59,111,7,1,Virginia
2020-07-11,Loudoun,10-19,585,0,0,Virginia
2020-07-11,Southside,80+,81,12,13,Virginia
2020-07-11,Central Virginia,80+,20,2,0,Virginia
2020-07-11,Rappahannock,Missing,20,0,0,Virginia
2020-07-11,Rappahannock Rapidan,30-39,327,18,1,Virginia
2020-07-11,New River,50-59,36,4,0,Virginia
2020-07-11,Richmond,80+,40,21,10,Virginia
